PISO,ID,Ecological System,Macrogroup code,MG Name,Division code,Division Name,Formation,Subclass,Class
Matorral desertico mediterraneo interior de Heliotropium stenophyllum y Flourensia thurifera,19,601.016,M788,Mediterranean Andean Cool Semi-Desert Scrub & Grassland,D296,Mediterranean & Southern Andean Cool Semi-Desert Scrub & Grassland,Cool Semi-Desert Scrub & Grassland,Cool Semi-Desert Scrub & Grassland,Desert & Semi-Desert
Herbazal mediterraneo andino de O. adenophylla y Pozoa coriacea,120,505.166,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Herbazal mediterraneo de Nastanthus spathulatus y Menonvillea spathulata,119,505.166,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Herbazal tropical andino de Chaetanthera sphaeroidalis,118,505.033,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo mediterraneo andino de Laretia acaulis y Berberis empetrifolia,113,505.159,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo tropical-mediterraneo andino de Adesmia subterranea y Adesmia echinus,110,505.161,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo tropical andino de Adesmia frigida y Stipa frigida,108,505.029,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo tropical andino de Artemisia copa y Stipa frigida,107,505.029,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo tropical andino de Azorella compacta y Pycnophyllum molle,102,505.033,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo tropical andino de Fabiana bryoides y Parastrephia quadrangularis,105,505.028,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo tropical andino de Fabiana denudata y Chuquiraga atacamensis,103,505.029,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo tropical andino de Fabiana squamata y Festuca chrysophylla,104,505.029,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo tropical andino de Mulinum crassifolium y Urbania pappigera,106,505.029,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo tropical andino de Parastrephia lepidophylla y P. qudrangularis,101,505.028,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo tropical andino de Parastrephia lucida y Azorella compacta,99,505.028,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo tropical andino de Parastrephia lucida y Festuca orthophylla,100,505.028,M794,High Andean Xeric Puna Bunch Grassland,D298,Tropical & Mediterranean Andean High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,Tropical High Montane Scrub & Grassland,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo emplado andino de Adesmia longipes y Senecio bipontini,116,603.171,M795,Southern Andean Alpine Scrub,D299,Southern Andean High Montane Scrub & Grassland,Temperate & Boreal Alpine Dwarf-Shrub & Grassland,Temperate to Polar Alpine & Tundra Vegetation,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo templado andino de Discaria chacaye y Berberis empetrifolia,115,603.171,M795,Southern Andean Alpine Scrub,D299,Southern Andean High Montane Scrub & Grassland,Temperate & Boreal Alpine Dwarf-Shrub & Grassland,Temperate to Polar Alpine & Tundra Vegetation,"Polar & High Montane Scrub, Grassland & Barrens"
Herbazal antiboreal andino de Nassauvia pygmaea y N. lagascae,122,603.185,M796,Magellanian Montane Forb Meadow & Grassland,D300,Magellanian High Montane Forb Meadow & Grassland,Temperate & Boreal Alpine Dwarf-Shrub & Grassland,Temperate to Polar Alpine & Tundra Vegetation,"Polar & High Montane Scrub, Grassland & Barrens"
Herbazal templado andino de Nassauvia dentata y Senecio portalesianus,121,603.185,M796,Magellanian Montane Forb Meadow & Grassland,D300,Magellanian High Montane Forb Meadow & Grassland,Temperate & Boreal Alpine Dwarf-Shrub & Grassland,Temperate to Polar Alpine & Tundra Vegetation,"Polar & High Montane Scrub, Grassland & Barrens"
Matorral bajo templado-antiboreal andino de Bolax gummifera y Azorella selago,117,603.187,M796,Magellanian Montane Forb Meadow & Grassland,D300,Magellanian High Montane Forb Meadow & Grassland,Temperate & Boreal Alpine Dwarf-Shrub & Grassland,Temperate to Polar Alpine & Tundra Vegetation,"Polar & High Montane Scrub, Grassland & Barrens"
