"Ecosystem Name","Country","Ecosystem Functional Group","Threat","Threat Bounds","Trigger","Area","Assessment System","Source","Reference"
"1.A.2.Ek.597 - Cerrado Humid Forest","Bolivia","T1.1","EN",NA,"A2b",191431.4877,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.2.Ek.597 - Cerrado Humid Forest","Brazil","T1.1","EN",NA,"A2b",191431.4877,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Trinidad and Tobago","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Saint Vincent and the Grenadines","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Saint Lucia","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Saint Kitts and Nevis","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Puerto Rico","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Montserrat","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Martinique","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Jamaica","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Haiti","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Guadeloupe","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Grenada","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Dominican Republic","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Dominica","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Cuba","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.598 - Caribbean Montane Humid Forest","Bonaire, Saint Eustatius and Saba","T1.3","EN","VU -- CR","A1, A3",17887.4082,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.600 - Mesoamerican Montane Humid Forest","Belize","T1.3","NE",NA,NA,45901.3554,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.600 - Mesoamerican Montane Humid Forest","El Salvador","T1.3","NE",NA,NA,45901.3554,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.600 - Mesoamerican Montane Humid Forest","Guatemala","T1.3","NE",NA,NA,45901.3554,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
"1.A.3.Eg.600 - Mesoamerican Montane Humid Forest","Honduras","T1.3","NE",NA,NA,45901.3554,"IUCN RLE 2.2","https://doi.org/10.1111/conl.12623","Ferrer-Paris et al. 2019"
